(.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 2 loss 0.9700900960516224 valid acc 15/16
Epoch 2 loss 1.7892019639737184 valid acc 15/16
Epoch 2 loss 1.5766764303890326 valid acc 16/16
Epoch 2 loss 1.8978013342593147 valid acc 15/16
Epoch 2 loss 1.6666984672844467 valid acc 16/16
Epoch 2 loss 1.9387710820265653 valid acc 13/16
Epoch 2 loss 1.2522190532423978 valid acc 15/16
Epoch 2 loss 1.7503351564467344 valid acc 14/16
Epoch 2 loss 2.0090718578423807 valid acc 14/16
Epoch 2 loss 2.075639393582571 valid acc 14/16
Epoch 2 loss 1.3986076221036439 valid acc 14/16
Epoch 2 loss 1.831517777063823 valid acc 14/16
Epoch 3 loss 0.1427739270111987 valid acc 15/16
Epoch 3 loss 2.3549034109310107 valid acc 15/16
Epoch 3 loss 2.060034526829654 valid acc 15/16
Epoch 3 loss 1.9568318965856886 valid acc 15/16
Epoch 3 loss 1.6774993311597932 valid acc 14/16
Epoch 3 loss 1.2835952978410567 valid acc 15/16
Epoch 3 loss 1.5880053438108463 valid acc 15/16
Epoch 3 loss 1.9605542718874605 valid acc 14/16
Epoch 3 loss 1.8556529178342984 valid acc 15/16
Epoch 3 loss 1.3954594965116298 valid acc 15/16
Epoch 3 loss 1.8649355794620315 valid acc 16/16
Epoch 3 loss 3.1114284406966455 valid acc 15/16
Epoch 3 loss 2.309364179947157 valid acc 15/16
Epoch 3 loss 2.0694115739230012 valid acc 15/16
Epoch 3 loss 3.3118412833033153 valid acc 16/16
Epoch 3 loss 1.8707462916305009 valid acc 15/16
Epoch 3 loss 2.027513805405724 valid acc 15/16
Epoch 3 loss 2.399081220458542 valid acc 16/16
Epoch 3 loss 1.766105146667519 valid acc 14/16
Epoch 3 loss 1.4037232415457237 valid acc 15/16
Epoch 3 loss 1.900663825135514 valid acc 13/16
Epoch 3 loss 1.6455175310210368 valid acc 15/16
Epoch 3 loss 0.4225907041404654 valid acc 14/16
Epoch 3 loss 2.239326586399402 valid acc 14/16
Epoch 3 loss 1.387466543226887 valid acc 14/16
Epoch 3 loss 1.8260089255634813 valid acc 15/16
Epoch 3 loss 1.4221840737617402 valid acc 15/16
Epoch 3 loss 1.5199400457054926 valid acc 15/16
Epoch 3 loss 1.8908922361125806 valid acc 14/16
Epoch 3 loss 0.8546643281702795 valid acc 15/16
Epoch 3 loss 2.2130729330249896 valid acc 15/16
Epoch 3 loss 1.8314603287791673 valid acc 14/16
Epoch 3 loss 0.7959915113072146 valid acc 14/16
Epoch 3 loss 1.4655065187749252 valid acc 13/16
Epoch 3 loss 2.101768954063009 valid acc 13/16
Epoch 3 loss 1.3868603174415957 valid acc 13/16
Epoch 3 loss 1.7238013140458288 valid acc 14/16
Epoch 3 loss 2.128111898078717 valid acc 13/16
Epoch 3 loss 1.792513895974827 valid acc 14/16
Epoch 3 loss 1.9692274930904945 valid acc 15/16
Epoch 3 loss 1.179665254477164 valid acc 15/16
Epoch 3 loss 1.816867982974055 valid acc 14/16
Epoch 3 loss 1.2548161738444068 valid acc 15/16
Epoch 3 loss 1.0875555348911723 valid acc 15/16
Epoch 3 loss 1.5891613244297045 valid acc 15/16
Epoch 3 loss 1.0571040802981717 valid acc 15/16
Epoch 3 loss 1.2418632253166173 valid acc 15/16
Epoch 3 loss 1.975916091537294 valid acc 14/16
Epoch 3 loss 1.392155444500442 valid acc 15/16
Epoch 3 loss 0.714349867104969 valid acc 15/16
Epoch 3 loss 1.9567482252702766 valid acc 15/16
Epoch 3 loss 1.1429732584508985 valid acc 14/16
Epoch 3 loss 1.4209222316200674 valid acc 14/16
Epoch 3 loss 1.4300919828851257 valid acc 13/16
Epoch 3 loss 1.3843960681482372 valid acc 14/16
Epoch 3 loss 1.0326982383683092 valid acc 15/16
Epoch 3 loss 0.6863461906111283 valid acc 15/16
Epoch 3 loss 1.455215004355435 valid acc 16/16
Epoch 3 loss 1.4371917517835124 valid acc 14/16
Epoch 3 loss 1.542697037750488 valid acc 16/16
Epoch 3 loss 1.1475805333092473 valid acc 14/16
Epoch 3 loss 1.302905374724499 valid acc 14/16
Epoch 3 loss 1.820333433460815 valid acc 15/16
Epoch 4 loss 0.06371805264464553 valid acc 15/16
Epoch 4 loss 1.545762420798674 valid acc 16/16
Epoch 4 loss 1.621649681468113 valid acc 15/16
Epoch 4 loss 1.7025023641217387 valid acc 13/16
Epoch 4 loss 0.5748664466942628 valid acc 15/16
Epoch 4 loss 1.185221596294416 valid acc 15/16
Epoch 4 loss 1.3994876854159508 valid acc 15/16
Epoch 4 loss 2.535035603479943 valid acc 15/16
Epoch 4 loss 1.8730923864934144 valid acc 15/16
Epoch 4 loss 1.007202476576728 valid acc 14/16
Epoch 4 loss 1.19999518345879 valid acc 14/16
Epoch 4 loss 2.0566489168376436 valid acc 14/16
Epoch 4 loss 1.2128078888454865 valid acc 15/16
Epoch 4 loss 2.0537330802082012 valid acc 14/16
Epoch 4 loss 2.5875451015165476 valid acc 14/16
Epoch 4 loss 2.467665051028965 valid acc 15/16
Epoch 4 loss 2.2907979813193697 valid acc 15/16
Epoch 4 loss 1.687011287514098 valid acc 16/16
Epoch 4 loss 1.3190336102185316 valid acc 15/16
Epoch 4 loss 1.0829735538643592 valid acc 15/16
Epoch 4 loss 1.2417390661281613 valid acc 15/16
Epoch 4 loss 0.7651824032583262 valid acc 16/16
