.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 2 loss 1.7741498119029886 valid acc 15/16
Epoch 2 loss 1.6618415007714331 valid acc 15/16
Epoch 2 loss 1.7139821977636198 valid acc 15/16
Epoch 2 loss 1.8983594700504216 valid acc 15/16
Epoch 2 loss 1.3188750396699904 valid acc 15/16
Epoch 2 loss 1.377774032389109 valid acc 13/16
Epoch 2 loss 2.9289545174392 valid acc 14/16
Epoch 2 loss 2.4615645955765304 valid acc 13/16
Epoch 2 loss 2.1567241061905116 valid acc 13/16
Epoch 2 loss 1.886995018614408 valid acc 14/16
Epoch 2 loss 2.5460912925687436 valid acc 14/16
Epoch 2 loss 2.0185603969351433 valid acc 15/16
Epoch 3 loss 0.19651731578384085 valid acc 15/16
Epoch 3 loss 1.3617012602420369 valid acc 13/16
Epoch 3 loss 2.405118556685591 valid acc 12/16
Epoch 3 loss 0.7491685222197368 valid acc 13/16
Epoch 3 loss 1.3566215352603401 valid acc 12/16
Epoch 3 loss 0.7426340302309437 valid acc 12/16
Epoch 3 loss 2.7165892318632974 valid acc 14/16
Epoch 3 loss 2.455236911898412 valid acc 14/16
Epoch 3 loss 2.002756101765316 valid acc 12/16
Epoch 3 loss 1.4488075456544474 valid acc 15/16
Epoch 3 loss 1.314920157562489 valid acc 15/16
Epoch 3 loss 2.7594886295683763 valid acc 14/16
Epoch 3 loss 2.876657674601806 valid acc 14/16
Epoch 3 loss 2.4752724721471395 valid acc 15/16
Epoch 3 loss 2.2873451042183492 valid acc 13/16
Epoch 3 loss 2.2187691282761106 valid acc 14/16
Epoch 3 loss 3.10118209090383 valid acc 15/16
Epoch 3 loss 3.5144051183793406 valid acc 14/16
Epoch 3 loss 1.587532027633496 valid acc 15/16
Epoch 3 loss 1.967832963400268 valid acc 15/16
Epoch 3 loss 2.1195079508728094 valid acc 13/16
Epoch 3 loss 1.069068229143117 valid acc 14/16
Epoch 3 loss 0.5724267272097822 valid acc 12/16
Epoch 3 loss 1.8778955128347712 valid acc 14/16
Epoch 3 loss 1.097036438241009 valid acc 14/16
Epoch 3 loss 2.1473913856425657 valid acc 14/16
Epoch 3 loss 1.357992183957065 valid acc 16/16
Epoch 3 loss 2.002343177324308 valid acc 14/16
Epoch 3 loss 1.7321625951643569 valid acc 13/16
Epoch 3 loss 1.0099513846972674 valid acc 12/16
Epoch 3 loss 1.8255516102096054 valid acc 14/16
Epoch 3 loss 1.444356286242743 valid acc 13/16
Epoch 3 loss 1.290596362364192 valid acc 12/16
Epoch 3 loss 1.6114631055129238 valid acc 14/16
Epoch 3 loss 1.9573670693716738 valid acc 14/16
Epoch 3 loss 1.7823711427088935 valid acc 12/16
Epoch 3 loss 2.5629569577942095 valid acc 13/16
Epoch 3 loss 2.2047628096915908 valid acc 14/16
Epoch 3 loss 1.6453970590735743 valid acc 14/16
Epoch 3 loss 1.235351548434349 valid acc 14/16
Epoch 3 loss 1.7043895075503543 valid acc 12/16
Epoch 3 loss 2.0546737500855388 valid acc 15/16
Epoch 3 loss 1.5547262434970281 valid acc 13/16
Epoch 3 loss 1.1251258330626535 valid acc 14/16
Epoch 3 loss 1.9600336062581534 valid acc 14/16
Epoch 3 loss 0.9153711532171662 valid acc 14/16
Epoch 3 loss 2.4738038564422236 valid acc 14/16
Epoch 3 loss 2.263545319413296 valid acc 14/16
Epoch 3 loss 1.1208775586519728 valid acc 12/16
Epoch 3 loss 1.0633367163118774 valid acc 13/16
Epoch 3 loss 1.4727623132889875 valid acc 13/16
Epoch 3 loss 1.2791545251649603 valid acc 13/16
Epoch 3 loss 1.121278257401284 valid acc 14/16
Epoch 3 loss 1.3259280480974958 valid acc 15/16
Epoch 3 loss 1.595378283798663 valid acc 15/16
Epoch 3 loss 0.7404517638780581 valid acc 14/16
Epoch 3 loss 1.5745110874514128 valid acc 12/16
Epoch 3 loss 2.3853917833095313 valid acc 13/16
Epoch 3 loss 2.0088489070009006 valid acc 13/16
Epoch 3 loss 2.0201936895239805 valid acc 15/16
Epoch 3 loss 1.8349884333231887 valid acc 14/16
Epoch 3 loss 1.2194751591325814 valid acc 14/16
Epoch 3 loss 1.7531753768797482 valid acc 13/16
Epoch 4 loss 0.0582101188987837 valid acc 14/16
Epoch 4 loss 1.0622208553172283 valid acc 13/16
Epoch 4 loss 2.344756909911001 valid acc 13/16
Epoch 4 loss 1.0158050636780374 valid acc 13/16
Epoch 4 loss 0.9324063887851579 valid acc 14/16
Epoch 4 loss 1.497635185613156 valid acc 11/16
Epoch 4 loss 1.6195522508894924 valid acc 15/16
Epoch 4 loss 2.2119151805250383 valid acc 13/16
Epoch 4 loss 1.4484689203738728 valid acc 13/16
Epoch 4 loss 1.3458514913657282 valid acc 13/16
Epoch 4 loss 1.0900656988346173 valid acc 13/16
Epoch 4 loss 1.9653087328129257 valid acc 14/16
Epoch 4 loss 2.4476587318356593 valid acc 13/16
Epoch 4 loss 1.7339292216211208 valid acc 13/16
Epoch 4 loss 1.526553347482314 valid acc 14/16
Epoch 4 loss 2.026091270803635 valid acc 14/16
Epoch 4 loss 2.350670690740057 valid acc 14/16
Epoch 4 loss 2.0067081172947354 valid acc 14/16
Epoch 4 loss 1.0702164463585297 valid acc 13/16
Epoch 4 loss 1.9347890560289802 valid acc 14/16
Epoch 4 loss 1.9276274772648985 valid acc 12/16
Epoch 4 loss 1.3095444986605058 valid acc 14/16
Epoch 4 loss 0.3313276592983067 valid acc 14/16
Epoch 4 loss 2.416985164871285 valid acc 13/16
Epoch 4 loss 1.2662747178197227 valid acc 14/16
Epoch 4 loss 1.7124404156673305 valid acc 14/16
Epoch 4 loss 1.9704939737258427 valid acc 14/16
Epoch 4 loss 1.3291776405240758 valid acc 14/16
Epoch 4 loss 0.9118756380059976 valid acc 13/16
Epoch 4 loss 0.8113694210914008 valid acc 14/16
Epoch 4 loss 1.5769266610658645 valid acc 14/16
Epoch 4 loss 1.1744262642907772 valid acc 11/16
Epoch 4 loss 0.5250870544256958 valid acc 12/16
Epoch 4 loss 0.9600171424937066 valid acc 15/16
Epoch 4 loss 2.417686314986983 valid acc 15/16
Epoch 4 loss 2.4934475244994387 valid acc 14/16
Epoch 4 loss 2.0503421900136205 valid acc 15/16
Epoch 4 loss 1.015567955704376 valid acc 13/16
Epoch 4 loss 1.7766371591212125 valid acc 14/16
Epoch 4 loss 1.268223737025723 valid acc 13/16
Epoch 4 loss 1.68773969606262 valid acc 12/16
Epoch 4 loss 1.6553936815995653 valid acc 14/16
Epoch 4 loss 1.0299036645871904 valid acc 14/16
Epoch 4 loss 1.0762408071100154 valid acc 13/16
Epoch 4 loss 1.2684763839222943 valid acc 15/16
Epoch 4 loss 0.49040841848991934 valid acc 13/16
Epoch 4 loss 2.0093590414765967 valid acc 15/16
Epoch 4 loss 1.5737996657480546 valid acc 14/16
Epoch 4 loss 1.2663765549890313 valid acc 13/16
Epoch 4 loss 1.9922980651807132 valid acc 13/16
Epoch 4 loss 1.4306238270462805 valid acc 15/16
Epoch 4 loss 1.719333056508711 valid acc 15/16
Epoch 4 loss 1.3445586379298096 valid acc 15/16
Epoch 4 loss 1.0193820554099704 valid acc 14/16
Epoch 4 loss 0.8953042139640259 valid acc 14/16
Epoch 4 loss 0.65746964543982 valid acc 15/16
Epoch 4 loss 1.0151363352829887 valid acc 15/16
Epoch 4 loss 1.7582009286165659 valid acc 14/16
Epoch 4 loss 2.2408307922930932 valid acc 13/16
Epoch 4 loss 1.6834329429926989 valid acc 14/16
Epoch 4 loss 1.5170896626026416 valid acc 14/16
Epoch 4 loss 0.8824436732768604 valid acc 15/16
Epoch 4 loss 1.3182505957863526 valid acc 15/16
Epoch 5 loss 0.10714870465221474 valid acc 15/16
Epoch 5 loss 1.6938940399722895 valid acc 15/16
Epoch 5 loss 1.1941508015611029 valid acc 15/16
Epoch 5 loss 1.0649711199293215 valid acc 15/16
Epoch 5 loss 1.2373309994617787 valid acc 13/16
Epoch 5 loss 0.9322497676771684 valid acc 14/16
Epoch 5 loss 1.4045853456673596 valid acc 14/16
Epoch 5 loss 1.211308392863751 valid acc 14/16
Epoch 5 loss 0.6431862414878144 valid acc 14/16
